speed11, distance11
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
1726, 300
1726, 300
1726, 300
1726, 300
1726, 300
1726, 300
2362, 300
2362, 300
2362, 300
2362, 300
1866, 300
1866, 300
1866, 300
1866, 300
1866, 300
1866, 300
2001, 300
2001, 300
2001, 300
902, 300
902, 300
902, 300
762, 300
762, 300
762, 300
762, 300
762, 300
1944, 300
1944, 300
1944, 300
1944, 300
1944, 300
1944, 300
2344, 300
2344, 300
2344, 300
2344, 300
2344, 300
1658, 300
1658, 300
1658, 300
1658, 300
1658, 300
1658, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
1303, 300
1303, 300
1303, 300
1303, 300
1303, 300
1303, 300
1303, 300
713, 300
713, 300
713, 300
713, 300
713, 300
555, 300
555, 300
555, 300
555, 300
555, 300
555, 300
555, 300
555, 300
555, 300
555, 300
1843, 300
1843, 300
1843, 300
1843, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
1084, 300
1084, 300
1084, 300
1084, 300
1084, 300
2469, 300
2469, 300
2469, 300
2469, 300
2469, 300
2469, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2060, 300
2348, 300
2348, 300
2348, 300
2348, 300
1263, 300
1263, 300
1263, 300
1263, 300
1263, 300
1362, 300
1362, 300
1362, 300
1362, 300
1362, 300
1362, 300
2550, 300
2550, 300
2550, 300
1336, 300
1336, 300
1336, 300
1336, 300
1336, 300
1336, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2372, 300
2373, 300
2373, 300
2373, 300
2373, 300
2373, 300
2380, 300
2380, 300
2380, 300
2380, 300
2380, 300
1910, 300
1910, 300
1910, 300
1910, 300
1910, 300
1353, 300
1353, 300
1353, 300
1353, 300
1036, 300
1036, 300
1036, 300
1036, 300
1036, 300
1036, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
1902, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2322, 300
2322, 300
2322, 300
2322, 300
2322, 300
2322, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2550, 300
2342, 300
2342, 300
2342, 300
2342, 300
2342, 300
2550, 300
2550, 300
2550, 300
