x, y, theta
7011140.1284208, 34801443.62901893, -1621832.394779074
6310017.210953885, 31321300.57289038, -1459649.316401167
8203009.744173054, 40717687.66556805, -1751579.4016814
8203000.840457753, 40717692.21791402, -1751580.0956814
9023294.716517553, 44789470.5205044, -1751580.3986814
12632601.97177021, 62705267.8377294, -2277054.92388582
15159134.30652569, 81516849.48308231, -2732465.690262984
18190972.9107833, 97820216.90926012, -3278959.700715581
23648272.4409755, 127166292.4877987, -3606856.593687139
30742741.56258382, 165316177.0765062, -4688914.158093281
46114119.38097421, 281037516.0431662, -7033371.177139921
73782576.67475946, 449660032.7763531, -11253394.47382388
81160845.29980347, 539592038.2786268, -12378733.78370627
73044766.39594165, 485632841.4754913, -11140860.65823564
131480597.4371077, 874139113.0080286, -20053546.07982415
118332545.750272, 874139117.4645075, -18048191.35394174
130165804.815307, 1048966951.912213, -18048190.71394174
143182380.7696919, 1153863657.12865, -19853009.51143591
186137107.9519368, 1500022755.391016, -23823610.50052309
186137102.3950938, 1500022747.077082, -23823610.12752309
241978242.397382, 1950029562.100108, -30970693.31918002
266176073.3185583, 2145032527.048448, -34067762.33099802
319411278.8549235, 2574039024.667659, -37474538.23409783
351352414.4200701, 2831442935.009889, -41221991.71760761
316217164.2057744, 2548298643.520603, -37099792.25964686
411082317.4062234, 3312788248.965752, -48229732.12804092
411082318.0873548, 3312788238.988976, -48229731.71304092
493298779.9513609, 3975345874.915572, -57875678.6412491
542628651.6048045, 4372880453.419197, -57875678.73224909
542628641.6645171, 4372880452.328012, -57875680.33524909
596891495.2659244, 4810168500.623465, -63663247.16537402
537202336.9753037, 4810168498.348586, -57296922.54693661
644642794.7160918, 5772202190.891242, -68756308.39792392
644642803.2289105, 5772202196.138328, -61880676.04163153
580178517.9824063, 5194981984.058288, -55692607.90556838
580178524.6519254, 5194981991.509295, -55692608.21156838
522160680.8297259, 4675483789.848651, -50123345.49231156
574376759.0485624, 5143032164.559846, -55135679.46514272
516939092.0686056, 4628728946.943616, -49622110.12812844
516939098.0981131, 4628728954.921399, -44659898.4259156
568632996.9304563, 5091601849.70984, -44659897.1359156
568632995.4036516, 5091601839.827084, -44659895.71891559
966676104.0571769, 8655723115.537226, -75921820.94735652
966676113.0243431, 9521295431.959606, -75921818.87035649
870008510.5642303, 8569165887.08634, -68329635.80432085
1044010217.144065, 10282999053.36601, -75162598.46075293
