x, y, theta
(0.0, 0.0, 0.0)
(9.48, -11.63, -14.34)
(-5.37, -9.51, -17.36)
(9.359999999999999, -6.68, -19.96)
(-3.9, -13.69, -23.05)
(10.64, -10.01, -26.72)
(-4.24, -8.130000000000001, -30.08)
(10.63, -10.14, -33.02)
(-4.15, -7.57, -36.44)
(6.87, -17.75, -40.45000000000001)
(5.13, -2.85, -44.14000000000001)
(-1.76, -16.18, -47.92000000000001)
(7.38, -4.29, -50.78)
(2.82, -18.58, -53.51)
(-3.27, -4.87, -55.61)
(11.31, -8.380000000000001, -57.96)
(4.91, -21.95, -59.16)
(-9.94, -19.86, -60.50000000000001)
(-9.58, -4.86, -62.07000000000001)
(-13.38, 9.65, -59.94)
(-21.61, 22.19, -61.42)
(-36.28, 25.31, -58.38000000000001)
(-26.28, 14.13, -56.40000000000001)
(-12.52, 20.09, -55.88000000000001)
(-1.53, 30.3, -55.72)
(-3.22, 45.2, -54.01)
(-18.18, 46.29, -52.95000000000001)
(-18.16, 31.29, -50.72)
(-4.43, 25.25, -50.64)
(9.68, 30.33, -49.20000000000001)
(5.32, 44.68, -47.60000000000001)
(-8.44, 38.72, -45.83)
(1.09, 27.13, -43.9)
(13.19, 35.99, -42.8)
(-0.48, 42.17000000000001, -39.73)
(9.91, 31.35, -37.28)
(14.94, 45.48, -35.66)
(0.23, 42.54, -33.06)
(14.75, 38.77000000000001, -30.28)
(1.78, 46.3, -27.32)
(15.81, 40.98, -23.67)
(1.14, 44.09000000000001, -20.73)
(15.04, 49.72, -16.2)
(6.6, 37.32, -13.27)
(7.49, 52.29, -8.84)
(21.05, 45.88, -4.61)
(7.9, 38.67000000000001, -0.67)
(3.69, 53.07, 4.38)
(18.12, 57.17000000000001, 8.74)
(14.04, 42.74, 12.7)
(13.4, 57.73, 15.66)
(20.74, 44.65, 19.92)
(6.9, 50.44, 23.27)
(17.9, 40.24, 25.5)
(7.66, 51.20000000000001, 29.41)
(18.47, 40.8, 31.89)
(14.42, 55.24000000000001, 34.63000000000001)
(7.92, 41.72, 36.73)
(19.34, 51.45, 40.08)
(4.37, 52.36000000000001, 41.48)
(1.88, 37.57, 43.01)
(15.62, 43.59000000000001, 45.78)
