x, y, theta
0.0, 0.0, 0.0
-8.08, -12.63, -4.28
-7.82, 2.37, -5.18
1.58, 14.06, -5.6
16.08, 17.89, -6.45
28.44, 9.4, -7.32
29.77, -5.54, -8.210000000000001
16.64, -12.79, -9.630000000000001
5.41, -2.84, -10.67
4.73, 12.14, -11.23
14.73, 23.32, -12.22
28.49, 17.36, -13.73
29.87, 2.42, -14.36
19.61, -8.529999999999999, -15.42
5.09, -12.28, -15.49
-9.33, -16.4, -15.37
-17.46, -29.01, -14.05
-7.77, -40.46, -12.82
-7.1, -25.47, -9.26
-19.81, -33.43, -8.470000000000001
-6.77, -40.84000000000001, -5.13
-10.81, -26.39, -3.75
-17.46, -39.84, -0.31
-18.57, -24.88, 3.6
-10.32, -37.41, 6.99
-22.7, -28.94, 10.66
-7.74, -27.84, 14.62
-18.33, -38.46, 18.37
-10.11, -25.92000000000001, 21.31
-17.78, -38.81, 24.74
-22.16, -24.46, 29.26
-7.16, -24.4, 33.58
-14.85, -37.28, 37.6
-28.48, -31.02, 43.22
-27.46, -16.05, 47.75
-12.48, -15.23, 52.89000000000001
-7.52, -29.39, 57.74000000000001
-21.94, -33.53, 62.20000000000001
-26.05, -19.1, 67.16
-11.86, -14.24, 71.73000000000001
-9.06, -28.98, 76.3
-23.41, -33.34000000000001, 81.37
-29.97, -19.85, 86.04000000000001
-16.19, -13.93, 90.7
-14.72, -28.86, 94.84999999999999
-29.16, -24.8, 99.38000000000001
-26.01, -10.14, 104.4
-11.99, -15.48, 108.5
-16.23, -29.87, 113.98
-30.46, -34.6, 119.14
-38.41, -21.88, 123.88
-24.2, -17.07, 128.1
-20.21, -31.53, 133.19
-34.96, -34.24, 137.35
-25.4, -22.68, 140.87
-20.79, -36.95, 145.64
-34.86, -31.74, 148.96
-21.34, -25.24, 153.53
-23.86, -40.03, 157.15
-27.2, -25.41, 160.6
-24.25, -40.12, 163.38
-23.52, -25.14, 166.39
-31.04, -38.12, 168.71
-20.91, -27.06, 172.24
-25.96, -41.18, 175.79
-13.89, -32.27, 177.34
